,"Razão Social","Nome do Laboratório","Situação","Endereço","Bairro","CEP","Cidade","UF","Telefone","Fax","Grupo de Serviço de Calibração","Gerente tecnico","Email"
127,"Associação Brasileira de Cimento Portland - ABCP","ABCP - Laboratório","
										Ativo                                    ","
										Avenida Torres de Oliveira, 76                                    ","
										Jaguaré                                    ","
										05347902                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3760-5353/5324/5348                                    ","
										(11) 3760-5340                                    ","DIMENSIONAL","
										Arnaldo Forti Battagin
                                    ","arnaldo.battagin@abcp.org.br"
128,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","Laboratório de Metrologia - MEC-Q/BA","
										Ativo                                    ","
										Avenida Jorge Amado S/N CP 78                                    ","
										Parque das Palmeiras                                    ","
										42800970                                    ","
										Camaçari                                    ","
										BA                                    ","
										(71) 3627-6141 / (11)3463-8205                                    ","
										(71) 3632-8702                                    ","DIMENSIONAL","
										DOUGLAS D. S. CAMARGO
                                    ","douglas@mecq.com.br"
129,"WIKA DO BRASIL INDÚSTRIA E COMÉRCIO LTDA.","LABORATÓRIO DE METROLOGIA","
										Ativo                                    ","
										AV. ÚRSULA WIEGAND, 03                                    ","
										POLÍGONO INDUSTRIAL                                    ","
										18560000                                    ","
										IPERÓ                                    ","
										SP                                    ","
										(15) 3459-9720                                    ","
										(15) 3266-1650                                    ","DIMENSIONAL","
										MARCO ANTONIO CARDOSO
                                    ","m.cardoso@wika.com.br"
130,"TORK - Controle Tecnológico de Materiais Ltda.","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Cruzeiro, 419 A 423                                    ","
										Barra Funda                                    ","
										01137000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3392-3902 / 2473                                    ","
										(11) 3392-3902                                    ","DIMENSIONAL","
										Cesar Augusto Gennari Neto
                                    ","tork@laboratorios-tork.com.br"
131,"STARRETT INDÚSTRIA E COMÉRCIO LTDA.","LABORATÓRIO DE METROLOGIA LAROY S. STARRETT - LAROYLAB","
										Ativo                                    ","
										AV. LAROY S. STARRETT, 1880                                    ","
										PINHEIRINHO                                    ","
										13300000                                    ","
										ITU                                    ","
										SP                                    ","
										(11) 2118-8341/8342                                    ","
										(11) 21188340                                    ","DIMENSIONAL","
										Fernando Muniz de Oliveira
                                    ","fmuniz@starrett.com.br"
132,"Centro Tecnológico de Metrologia Comércio de Instrumentos e Serviços Ltda. - CTM","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Luiz José Junqueira Freire, 375                                    ","
										Freguesia do Ó                                    ","
										02864000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3851-9001                                    ","
										(11) 3851-4709                                    ","DIMENSIONAL","
										Ademir Correia 
                                    ","calibracao@calibracao.com.br"
133,"Calibratec - Comércio e Assistência Técnica de Instrumentos de Medição Ltda.","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Tenente Pena, 73                                    ","
										Bom Retiro                                    ","
										01127020                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3133-0700                                    ","
										(11) 3338-2595                                    ","DIMENSIONAL","
										Robson Resende
                                    ","tecnico@calibratec.com.br"
134,"Feinmess Tecnologia e Treinamento Ltda.","Laboratório Feinmess","
										Ativo                                    ","
										Rua Engenheiro Mesquita Sampaio, 289                                    ","
										Chácara Santo Antoni                                    ","
										04711000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11)  5181-6420                                    ","
										(11)  3562-8970                                    ","DIMENSIONAL","
										Maria Cristina Rolim Dias Zernik
                                    ","cristina@feinmess.com.br"
135,"PRESERTEC SERVIÇOS DE CALIBRAÇÃO LTDA.","LABORATÓRIO PRESERTEC","
										Ativo                                    ","
										AV. GASTÃO VIDIGAL NETO, 220                                    ","
										CIDADE NOVA                                    ","
										12414020                                    ","
										PINDAMONHANGABA                                    ","
										SP                                    ","
										(12) 3642-8205                                    ","
										(12) 3642-8205                                    ","DIMENSIONAL","
										Dilton Siqueira Junior 
                                    ","diltonjr@presertec.com.br"
136,"RCQ RJ Calibração e Vendas de Equipamentos Ltda","RCQ RJ Calibração e Vendas de Equipamentos Ltda","
										Ativo                                    ","
										RUA TORIBA, 474                                    ","
										COLÉGIO                                    ","
										21545260                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										(21) 3014-3072                                    ","
										(21) 3014-3072                                    ","DIMENSIONAL","
										ALGEMIRO DA SILVA MACEDO
                                    ","comercial@rcq.com.br"
137,"K&L Laboratório de Metrologia Lenzi Ltda.","Laboratório de Metrologia Lenzi Ltda.","
										Ativo                                    ","
										RUA SERGIPE, 113 - SALA B                                    ","
										BONECA DO IGUAÇU                                    ","
										83040120                                    ","
										SÃO JOSÉ DOS PINHAIS                                    ","
										PR                                    ","
										(41) 3382 7666                                    ","
										(41) 3382 7666                                    ","DIMENSIONAL","
										Mauro Godinho
                                    ","gerencia.tecnica@kellab.com.br"
138,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","Laboratório MEC-Q - Unidade SP","
										Ativo                                    ","
										Rua Francisco Bonilha, 19                                    ","
										Vila Príncipe de Gal                                    ","
										09060550                                    ","
										Santo André                                    ","
										SP                                    ","
										(11) 3463-8211                                    ","
										(11) 3463-8224                                    ","DIMENSIONAL","
										Douglas Dagoberto Soares de Camargo
                                    ","douglas@mecq.com.br"
139,"SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL - SENAI","LABORATÓRIO DE METROLOGIA DO SENAI-MG CFP/EL","
										Ativo                                    ","
										RUA DR. JOSÉ AMÉRICO CANÇADO BAHÍA, 75                                    ","
										CIDADE INDUSTRIAL                                    ","
										32210130                                    ","
										CONTAGEM                                    ","
										MG                                    ","
										(31) 3364 7697                                    ","
										(31) 3364 7428                                    ","DIMENSIONAL","
										Ailton Teixeira Neves
                                    ","ailton@fiemg.com.br"
140,"Metrologia 9000 Ltda.","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Turquesa, 80                                    ","
										Jardim São José                                    ","
										12216350                                    ","
										São José dos Campos                                    ","
										SP                                    ","
										(12) 3941-7732                                    ","
										(12) 3941-7732                                    ","DIMENSIONAL","
										CARLOS HENRIQUE E. BRANCO DA CUNHA
                                    ","mtr9000@metrologia9000.com.br, mtr9000@uol.com.br"
141,"Aferitec Comprovações Metrológicas e Comércio Ltda.","Aferitec Comprovações Metrológicas e Comércio Ltda.","
										Ativo                                    ","
										Rua Cesar Ladeira, 183                                    ","
										Chácara Floresta                                    ","
										13424385                                    ","
										Piracicaba                                    ","
										SP                                    ","
										(19) 3422-0215 / 2533-5516                                    ","
										(19) 3432 -2840                                    ","DIMENSIONAL","
										Wanderson Henrique Stoco
                                    ","aferitec@aferitec.com.br"
142,"Serviço Nacional de Aprendizagem Industrial - SENAI","Laboratório de Calibração SENAI - Suiçlab","
										Ativo                                    ","
										Rua Bento Branco de Andrade Filho, 379                                    ","
										Santo Amaro                                    ","
										04757000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 5642-3450                                    ","
										(11) 5642-3434                                    ","DIMENSIONAL","
										Douglas Manesco de Lima
                                    ","suiclab@sp.senai.br"
143,"L. A. Falcão Bauer - Centro Tecnológico de Controle Qualidade Ltda.","Laboratório de Metrologia","
										Ativo                                    ","
										RUA AQUINOS, 111 -  PRÉDIO V - 1° ANDAR                                    ","
										AGUA BRANCA                                    ","
										05036070                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 3611-0833                                    ","
										(11) 3611-0170                                    ","DIMENSIONAL","
										VERA LÚCIA FALCAO BAUER
                                    ","qualidade@falcaobauer.com.br"
144,"Instituto de Pesquisas Tecnológicas do Estado de São Paulo - IPT","Centro de Metrologia Mecânica, Elétrica e de Fluídos - IPT/CTmetro","
										Ativo                                    ","
										Avenida Professor Almeida Prado, 532                                    ","
										Cidade Universitária                                    ","
										05508901                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3767-4756 / 4738                                    ","
										(11) 3766-3572                                    ","DIMENSIONAL","
										Kazuto Kawakita
                                    ","ctmetro@ipt.br"
145,"SETTING COMÉRCIO, INDUSTRIALIZAÇÃO E SERVIÇOS DE CALIBRAÇÕES E ENSAIOS LTDA - EPP","SETTING CALIBRAÇÃO E ENSAIOS","
										Ativo                                    ","
										Rua Rei Alberto da Bélgica, 187                                    ","
										Vila Guarani                                    ","
										03381000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3572-0450 / 2916-0493                                    ","
										(11) 3572-0452                                    ","DIMENSIONAL","
										Tatiana Macedo Ramos Pina
                                    ","pep@setting.net.br"
146,"Microprecs - Euros Comércio de Instrumento de Precisão Ltda. - ME","Laboratório de Calibração","
										Suspensão Total  desde 26/03/2019                                    ","
										Rua Dutra Rodrigues, 149                                    ","
										Bairro da Luz                                    ","
										01105010                                    ","
										São Paulo                                    ","
										SP                                    ","
										11 2478-4890                                    ","
										(11) 3328-1100                                    ","DIMENSIONAL","
										Eurípedes Eliodoro de Oliveira
                                    ","euripedes@microprecs.com.br"
147,"LABOMI EIRELI - ME","LABOMI EIRELI - ME","
										Suspensão Total  desde 13/02/2019                                    ","
										RUA CAMÉLIA, 26                                    ","
										CAMPOS ELÍSIOS                                    ","
										35930287                                    ","
										JOÃO MONLEVADE                                    ","
										MG                                    ","
										(31) 3851 4546                                    ","
										(31) 3851 6323                                    ","DIMENSIONAL","
										KELSON LUCIANO FRAGA
                                    ","gerencia@labomi.com.br"
148,"GERO COMÉRCIO E SERVIÇOS LTDA","GERO COMÉRCIO E SERVIÇOS LTDA","
										Ativo                                    ","
										AV. ANTÔNIO BETTINI, 333                                    ","
										PARQUE EMPRESARIAL                                    ","
										18520000                                    ","
										CERQUILHO                                    ","
										SP                                    ","
										(15) 3384-3000                                    ","
										(O15) 3384-3000                                    ","DIMENSIONAL","
										Douglas Mayoral
                                    ","douglas@gero.com.br"
149,"LABMESS - COMÉRCIO E SERVIÇOS METROLÓGICOS EIRELI.","LABMESS - COMÉRCIO E SERVIÇOS METROLÓGICOS EIRELI.","
										Ativo                                    ","
										RUA ITAPURA ,161/169                                    ","
										VILA ALPINA                                    ","
										09090320                                    ","
										SANTO ANDRÉ                                    ","
										SP                                    ","
										(11)4438-5466                                    ","
										(11) 4994 9922                                    ","DIMENSIONAL","
										Flávio Ferransi
                                    ","labmess@labmess.com.br"
150,"LABORTEC - Metrologia Ltda.","Laboratório de Metrologia LABORTEC","
										Ativo                                    ","
										AV. AMBRÓSIO FUMAGALLI, 1.321                                    ","
										PRQ. EGISTO RAGAZZO                                    ","
										13485333                                    ","
										LIMEIRA                                    ","
										SP                                    ","
										(19) 2114 0620                                    ","
										(19) 2114 0620                                    ","DIMENSIONAL","
										Fernando Sampataro
                                    ","fernando.sampataro@laborteclab.com.br"
151,"Instemaq Comercial Técnica Ltda.","Laboratório de Calibração Instemaq","
										Ativo                                    ","
										Rua Salvador Leme, 211/215                                    ","
										Bom Retiro                                    ","
										01124020                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11)  3329-3900                                    ","
										(11) 3329-3912_3921                                    ","DIMENSIONAL","
										Henrique Alves de Oliveira
                                    ","laboratorio@instemaq.com.br"
152,"Iso-Metro Comercial Ltda.","Iso-Metro Comercial Ltda.","
										Ativo                                    ","
										Avenida Cidade Jardim, 4.242 - Sala 4                                    ","
										Bosque dos Eucalipto                                    ","
										12232001                                    ","
										São José dos Campos                                    ","
										SP                                    ","
										(12) 3936 1419                                    ","
										(12) 3936 1419                                    ","DIMENSIONAL","
										ANTONIO CARLOS TAKESHI NAKASE
                                    ","isometro@isometro.com.br"
153,"LMC Medição e Controle Eireli","Laboratório Medição Contagem","
										Ativo                                    ","
										Rua Dona Maria Conceição, 261                                    ","
										JARDIM INDUSTRIAL                                    ","
										32215130                                    ","
										CONTAGEM                                    ","
										MG                                    ","
										(31) 3046-7950                                    ","
										(31) 3046-7950                                    ","DIMENSIONAL","
										Cristiano Delfim
                                    ","gt@medicao.contagem.br"
154,"DINATESTE INDÚSTRIA E COMÉRCIO LTDA.","LABORATÓRIO DE CALIBRAÇÃO","
										Ativo                                    ","
										AV. CORIFEU DE AZEVEDO MARQUES, 1.468                                    ","
										BUTANTÃ                                    ","
										05582001                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 3726-4899                                    ","
										(11) 3726-5611                                    ","DIMENSIONAL","
										RICARDO LUIZ ZANETTI
                                    ","ricardo@dinateste.com.br"
155,"Instron Brasil Equipamentos Científicos Ltda.","Laboratório de Calibração Instron","
										Ativo                                    ","
										Rua Quirino Zagonel, 257                                    ","
										Vila Braga                                    ","
										83020250                                    ","
										São José dos Pinhais                                    ","
										PR                                    ","
										(041) 3035-9400                                    ","
										(041) 3035-9403                                    ","DIMENSIONAL","
										Flavio Henrique D´Agostino
                                    ","flavio_dagostino@instron.com"
156,"Mecapres Indústria e Comércio de Meios de Controle Ltda.","Mecapres Indústria e Comércio de Meios de Controle Ltda.","
										Rua Omilio Monteiro Soares, 2.479                                    ","
										Vila Fanny                                    ","
										81030001                                    ","
										Curitiba                                    ","
										PR                                    ","
										(41) 3346 1218                                    ","
										(41) 3018 2565                                    ","DIMENSIONAL","
										JIAN CARLO ZARDO NATALICCHIO
                                    ","jian@mecapres.com.br",
157,"Tridimensional Calibração e Assistência Técnica Ltda.","Laboratório de Calibração da Tridimensional","
										Ativo                                    ","
										Rua Engenheiro Francisco Pitta Brito, 531                                    ","
										Santo Amaro                                    ","
										04753080                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 5524-0721                                    ","
										(11) 5524-7246                                    ","DIMENSIONAL","
										GERALDO M.PEREIRA
                                    ","tridimensional@trid.com.br"
158,"CEIME - Comércio e Metrologia Ltda.","CEIME SÃO PAULO","
										Ativo                                    ","
										Rua Curupá n°150                                    ","
										Vila Formosa                                    ","
										03355010                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 4433-8122 R.234                                    ","
										(11) 4433-8122-R 214                                    ","DIMENSIONAL","
										Antonio Souza Lopes
                                    ","ceime@ceime.com.br"
159,"Metrolab Calibrações Ltda.","Metrolab Calibrações","
										Ativo                                    ","
										Rua Francisco Gonçalves Fonseca, 120                                    ","
										Eldorado                                    ","
										12238575                                    ","
										São José dos Campos                                    ","
										SP                                    ","
										(12) 3966-3008                                    ","
										(12) 3966-7611                                    ","DIMENSIONAL","
										Bruno Augiusto Caetano
                                    ","bruno@metrolabcal.com.br"
160,"CONTEMP INDÚSTRIA COMÉRCIO E SERVIÇOS LTDA.","LABORATÓRIO DE METROLOGIA CONTEMP","
										Ativo                                    ","
										ALAMEDA ARAGUAIA, 204                                    ","
										SANTA MARIA                                    ","
										09560580                                    ","
										SÃO CAETANO DO SUL                                    ","
										SP                                    ","
										(11) 4223-5100                                    ","
										(11) 4223-5103                                    ","DIMENSIONAL","
										Edson Luiz de Freitas
                                    ","edson.freitas@contemp.com.br"
161,"EXCEL SERVIÇOS EM METROLOGIA LTDA.","LABORATÓRIO EXCELMETRO","
										Ativo                                    ","
										AV. CELINA FERREIRA OTTONI, 5205                                    ","
										PADRE VICTOR                                    ","
										37048395                                    ","
										VARGINHA                                    ","
										MG                                    ","
										(35) 2106 2700                                    ","
										(35) 2106 2724                                    ","DIMENSIONAL","
										Saulo de Tarso Mota
                                    ","comercial@excelmetro.com.br"
162,"CARL ZEISS DO BRASIL LTDA.","CARL ZEISS DO BRASIL/IMT","
										Ativo                                    ","
										AVENIDA NAÇÕES UNIDAS, 21.711                                    ","
										SANTO  AMARO                                    ","
										04795100                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5693-5500/5541                                    ","
										(11) 5693-5555                                    ","DIMENSIONAL","
										Cleiton Prates Dias
                                    ","cleiton.dias@zeiss.com"
163,"VWC Equipamentos de Instrumentação e Comércio Ltda.","VWC Equipamentos de Instrumentação e Comércio Ltda.","
										Ativo                                    ","
										Avenida Príncipe de Gales, 575                                    ","
										Vila Príncipe de Gal                                    ","
										09060650                                    ","
										Santo André                                    ","
										SP                                    ","
										11 4432-1000                                    ","
										11 4432-1000                                    ","DIMENSIONAL","
										Glauci Roque Faria
                                    ","glauci.roque@vwc.com.br"
164,"MTS SISTEMAS DO BRASIL LTDA.","MTS SISTEMAS DO BRASIL LTDA.","
										Ativo                                    ","
										RUA LUIGI GALVANI, 146 - 1º ANDAR                                    ","
										BROOKLIN NOVO                                    ","
										04575020                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5501-5300                                    ","
										(11) 5505-5682                                    ","DIMENSIONAL","
										Dayanne Romagnoli Silva
                                    ","dayanne.silva@mtsbrasil.com.br"
165,"METROVAL CONTROLE DE FLUIDOS LTDA","LABORATÓRIO DE CALIBRAÇÃO METROVAL","
										Ativo                                    ","
										RUA CHRISTIANO KILMEYERS, 819                                    ","
										P. IND. HARMONIA                                    ","
										13460000                                    ","
										NOVA ODESSA                                    ","
										SP                                    ","
										(19) 2127-9400 RAMAL 226/280                                    ","
										(19) 2127-9401                                    ","DIMENSIONAL","
										Noemi Cristina Hernandez
                                    ","noemi@metroval.com.br, metrologia@metroval.com.br"
166,"Serviço Nacional de Aprendizagem Industrial - SENAI","Laboratório do Centro de Tecnologias do Gás e Energias Renováveis - SENAI","
										Ativo                                    ","
										Avenida Capitão Mor Gouveia, 2.770                                    ","
										Lagoa Nova                                    ","
										59063400                                    ","
										Natal                                    ","
										RN                                    ","
										(84) 3204-8152                                    ","
										(84) 3204-8152                                    ","DIMENSIONAL","
										Simonyo Policarpo Gomes
                                    ","ltger@ctgas-er.com.br"
167,"FURNAS CENTRAIS ELÉTRICAS S/A.","LABORATÓRIO DE METROLOGIA DA GERENCIA DE PESQUISA, SERVIÇOS E INOVAÇÃO TECNOLÓGICA - GST.E","
										Suspensão Total  desde 06/07/2017                                    ","
										RODOVIA BR 153 - KM 510                                    ","
										ZONA RURAL                                    ","
										74923650                                    ","
										APARECIDA DE GOIÂNIA                                    ","
										GO                                    ","
										062 3239 6318/6370                                    ","
										062 3239 6500                                    ","DIMENSIONAL","
										RENATO CABRAL GUIMARÃES
                                    ","renatocg@furnas.com.br"
168,"CALIBRARIO SERVIÇOS DE CALIBRAÇÃO LTDA EPP","CALIBRARIO SERVIÇOS DE CALIBRAÇÃO LTDA EPP","
										Ativo                                    ","
										RUA DIOGO DE VASCONCELOS, 39                                    ","
										MANGUINHOS                                    ","
										21041180                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										(21) 2560-2483/99396-4964                                    ","
										(21) 2560-2483                                    ","DIMENSIONAL","
										LUIZ CLAUDIO GOMES RODRIGUES
                                    ","comercial@calibrario.com.br"
169,"SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL - SENAI/DR-BA","LABORATÓRIO DE METROLOGIA - SENAI-CIMATEC - LME","
										Ativo                                    ","
										AV. ORLANDO GOMES, 1845 - ED. RÔMULO ALMEIDA                                    ","
										PIATÃ                                    ","
										41650010                                    ","
										SALVADOR                                    ","
										BA                                    ","
										71) 3462-9565                                    ","
										(71) 3462-9594                                    ","DIMENSIONAL","
										Paulo Homero Queiroz de Figueiredo
                                    ","paulo.figueiredo@fieb.org.br"
170,"Nanotech Locação e Serviços de Metrologia Ltda.","Nanotech Serviços de Metrologia Ltda.","
										Ativo                                    ","
										Rua Vital Brasil Filho, 474                                    ","
										Vila Paula                                    ","
										09541130                                    ","
										São Caetano do Sul                                    ","
										SP                                    ","
										(11) 4232-4364                                    ","
										(11) 4232-6537                                    ","DIMENSIONAL","
										Micheli Silvério de Freitas Mariano
                                    ","qualidade@nanotechlab.com.br"
171,"Qualy-Med Comércio e Serviços de Instrumentos de Precisão, Calibração Eirele","Qualy-Med Comércio e Serviços de Instrumentos de Precisão, Calibração Eirele","
										Ativo                                    ","
										RUA ALEMANHA, 1556                                    ","
										CAMILÓPOLIS                                    ","
										09240001                                    ","
										SANTO ANDRÉ                                    ","
										SP                                    ","
										(11) 4461-1448                                    ","
										(11) 4461-1448                                    ","DIMENSIONAL","
										Anderson Sianga
                                    ","anderson@qualymed.com.br"
172,"HEXAGON METROLOGY SISTEMAS DE MEDIÇÃO LTDA.","HEXAGON METROLOGY MANUFACTURING INTELLIGENCE","
										Ativo                                    ","
										RUA DOM AGUIRRE, 190                                    ","
										VILA SOFIA                                    ","
										04671245                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										11 5525-6026                                    ","
										11 5687-2101                                    ","DIMENSIONAL","
										JONAS POPOLIN FREI
                                    ","jonas.frei@hexagonmetrology.com"
173,"LG COMÉRCIO E CONSERTO DE INSTRUMENTOS DE MEDIÇÃO LTDA.","LG METROLOGIA","
										Ativo                                    ","
										RUA SÃO LUIS DO PARAITINGA, Nº 12                                    ","
										JARDIM DO TREVO                                    ","
										13030105                                    ","
										CAMPINAS                                    ","
										SP                                    ","
										(19) 2512-0460                                    ","
										(19) 3307-7500                                    ","DIMENSIONAL","
										Juliano Messias Lazzaretti
                                    ","juliano@lgmetrologia.com.br"
174,"LABORATÓRIOS DE METROLOGIA LABMETRO LTDA.","LABORATÓRIOS DE METROLOGIA LABMETRO LTDA.","
										Ativo                                    ","
										RUA TENENTE SILVIO FLEMING, 449                                    ","
										PIRITUBA                                    ","
										02935090                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11)3648-7200                                    ","
										(11) 3832 7350                                    ","DIMENSIONAL","
										Peterson Zanuto
                                    ","peterson@labmetro.com.br"
175,"IMI - INSTITUTO DE METROLOGIA INDUSTRIAL LTDA.","IMI - INSTITUTO DE METROLOGIA INDUSTRIAL LTDA.","
										Ativo                                    ","
										RUA LUIZ LEMOS CALDAS, LOTE 13, QUADRA 09                                    ","
										CAMPO GRANDE                                    ","
										23071480                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										(21) 3314-8357/8256                                    ","
										(21) 3314-8357                                    ","DIMENSIONAL","
										EDUARDO ALVES RODRIGUES
                                    ","usitec.lab@uol.com.br"
176,"TECMETRO - TECNOLOGIA EM MEDIÇÕES LTDA.","TECMETRO - TECNOLOGIA EM MEDIÇÕES LTDA","
										Ativo                                    ","
										Tirreno, 70                                    ","
										JARDIM DO MAR                                    ","
										09726170                                    ","
										S. BERNARDO DO CAMPO                                    ","
										SP                                    ","
										(11) 4330-5017                                    ","
										(11) 4125-1743                                    ","DIMENSIONAL","
										Ivo Sebode
                                    ","tecmetro@tecmetro.com.br"
177,"METROSUL SOLUÇÕES EM METROLOGIA LTDA.","LABORATÓRIO METROSUL","
										Ativo                                    ","
										RUA DA VÁRZEA, 236                                    ","
										JARDIM SÃO PEDRO                                    ","
										91040600                                    ","
										PORTO ALEGRE                                    ","
										RS                                    ","
										(51) 3345-2266                                    ","
										(51) 3345-2266                                    ","DIMENSIONAL","
										CLÁUDIO LUIZ PRIETO HERMAN
                                    ","claudio@metrosul-rs.com.br"
178,"Serviço Nacional de Aprendizagem Industrial - Senai-DR/CE","LABORATÓRIO DE METROLOGIA DO SENAI CEARÁ","
										Suspensão Total  desde 10/07/2019                                    ","
										AV. DO CONTORNO, 1.395                                    ","
										DISTRITO INDUSTRIAL                                    ","
										61939160                                    ","
										MARACANAÚ                                    ","
										CE                                    ","
										(85) 3421-5023 / 5024                                    ","
										(85) 3421-5023 / 5024                                    ","DIMENSIONAL","
										ANDERSON MOREIRA DE SOUZA
                                    ","amoreira@sfiec.org.br"
179,"Calibracom Controle de Processos Industriais Ltda. - EPP","Calibracom Controle de Processos Industriais Ltda. - EPP","
										Ativo                                    ","
										Rua Odair Dias de Souza, 419                                    ","
										Jardim Morumbi I                                    ","
										18085510                                    ","
										Sorocaba                                    ","
										SP                                    ","
										(15) 3228-4138                                    ","
										(15) 3228-4138                                    ","DIMENSIONAL","
										Gilberto Gomes de Melo
                                    ","calibracom@calibracom.com.br"
180,"Norberto Mischi Soluções Técnicas Ltda. EPP","Norberto Mischi Soluções Técnicas Ltda. EPP","
										Ativo                                    ","
										Rua Costa Barros, 1.174 - Conjunto 12 / 13                                    ","
										Vila Alpina                                    ","
										03210001                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 2912-8907                                    ","
										(11) 2912-8907                                    ","DIMENSIONAL","
										NORBERTO MISCHI
                                    ","norberto@solucoestecnicas.com"
181,"Instituto Amazonense de Metrologia Ltda.","LABCAL - LABORATÒRIO DE CALIBRAÇÃO","
										Ativo                                    ","
										Avenida Rodrigo Otávio, 1.405 - Sala 1                                    ","
										Crespo                                    ","
										69073000                                    ","
										Manaus                                    ","
										AM                                    ","
										(92) 3237-7690                                    ","
										(92) 3613-1585                                    ","DIMENSIONAL","
										Celso Moresco
                                    ","celso@labcal.com.br"
182,"VL Corrêa Medição e Calibração Ltda.","VL Corrêa Medição e Calibração Ltda.","
										Ativo                                    ","
										Rua Olavo Milton Macknight, 182 - Sala B                                    ","
										Jardim América                                    ","
										13450259                                    ","
										Sta Barbara D`Oeste                                    ","
										SP                                    ","
										(19) 3455-0188                                    ","
										(19) 3455-0188                                    ","DIMENSIONAL","
										EDUARDO DE CASTRO PEDRO
                                    ","laboratorio@vlcorrea.com.br"
183,"HOLTERMANN COMERCIAL E TÉCNICA LTDA","HOLTERMANN","
										Ativo                                    ","
										RUA JOSÉ TIERI, 17                                    ","
										JARDIM DA GLÓRIA                                    ","
										06038120                                    ","
										OSASCO                                    ","
										SP                                    ","
										(11) 3609-0970 R.:30                                    ","
										(11) 3609-5903                                    ","DIMENSIONAL","
										Célio Eduardo Holtermann Simonato
                                    ","eduardo@holtermann.com.br"
184,"Precisotec Laboratório de Metrologia Ltda.","Precisotec Laboratório de Metrologia Ltda.","
										Ativo                                    ","
										Rua Sarmento Leite, 3.308                                    ","
										Rio Branco                                    ","
										95084000                                    ","
										Caxias do Sul                                    ","
										RS                                    ","
										(54) 3027-4036                                    ","
										(54) 3027-4036                                    ","DIMENSIONAL","
										NEDI HOMERO AMORIM MOTTA
                                    ","qualidade@precisotec.com.br"
185,"Calibratec Comércio e Calibrações de Instrumentos de Medição Ltda.","Calibratec Comércio e Calibrações de Instrumentos de Medição Ltda.","
										Ativo                                    ","
										AV. SEVERINO BALLESTEROS RODRIGUES, 2999                                    ","
										DIST. INDUST. DR. HÉ                                    ","
										32110005                                    ","
										CONTAGEM                                    ","
										MG                                    ","
										(31) 3398-9022                                    ","
										(31) 3398-9022                                    ","DIMENSIONAL","
										GLEICIO MATIAS DE ABREU
                                    ","gleicio@calibratec.com.br "
186,"KRATOS EQUIPAMENTOS INDUSTRIAIS LTDA.","LABORATÓRIO DE CALIBRAÇÃO KRATOS","
										Ativo                                    ","
										RUA ETIÓPIA, 294                                    ","
										RIO COTIA                                    ","
										06715775                                    ","
										COTIA                                    ","
										SP                                    ","
										11 4148-9080                                    ","
										11 4616 6077                                    ","DIMENSIONAL","
										Roberto J. S. Tannus
                                    ","roberto@kratos.com.br"
187,"Conaut Controles Automáticos Ltda.","Laboratório de Calibração Conaut Macaé","
										Ativo                                    ","
										Rua Internacional, 309                                    ","
										Novo Cavaleiros                                    ","
										27930075                                    ","
										Macaé                                    ","
										RJ                                    ","
										22 2106 0250                                    ","
										22 2106 0297                                    ","DIMENSIONAL","
										Mauro Marcos Ceccopieri Baptista
                                    ","mauro.marcos@conautrj.com.br"
188,"Competec Máquinas Indústria e Comércio Ltda. - Me","CMLab - Laboratório de Metrologia  da Competec","
										Ativo                                    ","
										RUA R 8 - Módulo 01 - Quadra 13 D                                    ","
										Daia                                    ","
										75132070                                    ","
										Anápolis                                    ","
										GO                                    ","
										62 3313 5269                                    ","
										62 3313 5269                                    ","DIMENSIONAL","
										Gustavo Dellagiustina
                                    ","gdella@grupocompetec.com.br"
